Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
10/24/2013,9:00,Partly cloudy,25 °c,"0.0
mm",34%,1018 mb,14 km/h,16 km/h
10/24/2013,12:00,Cloudy,24 °c,"0.0
mm",72%,1016 mb,16 km/h,24 km/h
10/24/2013,15:00,Partly cloudy,22 °c,"0.0
mm",44%,1014 mb,12 km/h,19 km/h
10/24/2013,18:00,Clear,22 °c,"0.0
mm",15%,1015 mb,8 km/h,15 km/h
10/24/2013,21:00,Partly cloudy,20 °c,"0.0
mm",45%,1018 mb,8 km/h,14 km/h
10/25/2013,0:00,Partly cloudy,19 °c,"0.0
mm",30%,1018 mb,8 km/h,15 km/h
10/25/2013,3:00,Clear,19 °c,"0.0
mm",14%,1017 mb,9 km/h,17 km/h
10/25/2013,6:00,Sunny,19 °c,"0.0
mm",7%,1018 mb,9 km/h,13 km/h
10/25/2013,9:00,Sunny,24 °c,"0.0
mm",6%,1020 mb,14 km/h,17 km/h
10/25/2013,12:00,Sunny,28 °c,"0.0
mm",4%,1017 mb,14 km/h,23 km/h
10/25/2013,15:00,Sunny,28 °c,"0.0
mm",1%,1016 mb,10 km/h,18 km/h
10/25/2013,18:00,Clear,24 °c,"0.0
mm",0%,1017 mb,5 km/h,11 km/h
10/25/2013,21:00,Clear,20 °c,"0.0
mm",3%,1019 mb,5 km/h,11 km/h
10/26/2013,0:00,Clear,19 °c,"0.0
mm",15%,1018 mb,6 km/h,12 km/h
10/26/2013,3:00,Clear,17 °c,"0.0
mm",14%,1017 mb,6 km/h,13 km/h
10/26/2013,6:00,Partly cloudy,17 °c,"0.0
mm",55%,1019 mb,6 km/h,9 km/h
10/26/2013,9:00,Sunny,24 °c,"0.0
mm",15%,1021 mb,6 km/h,11 km/h
10/26/2013,12:00,Sunny,28 °c,"0.0
mm",8%,1017 mb,4 km/h,11 km/h
10/26/2013,15:00,Sunny,28 °c,"0.0
mm",7%,1016 mb,4 km/h,9 km/h
10/26/2013,18:00,Clear,22 °c,"0.0
mm",7%,1016 mb,5 km/h,11 km/h
10/26/2013,21:00,Clear,20 °c,"0.0
mm",11%,1018 mb,7 km/h,15 km/h
10/27/2013,0:00,Clear,18 °c,"0.0
mm",15%,1017 mb,5 km/h,11 km/h
10/27/2013,3:00,Partly cloudy,18 °c,"0.0
mm",30%,1017 mb,1 km/h,3 km/h
10/27/2013,6:00,Sunny,17 °c,"0.0
mm",21%,1018 mb,4 km/h,5 km/h
10/27/2013,9:00,Sunny,23 °c,"0.0
mm",18%,1018 mb,5 km/h,10 km/h
10/27/2013,12:00,Sunny,27 °c,"0.0
mm",15%,1016 mb,8 km/h,15 km/h
10/27/2013,15:00,Partly cloudy,27 °c,"0.0
mm",32%,1015 mb,9 km/h,16 km/h
10/27/2013,18:00,Partly cloudy,22 °c,"0.0
mm",36%,1016 mb,8 km/h,15 km/h
10/27/2013,21:00,Clear,21 °c,"0.0
mm",24%,1018 mb,8 km/h,14 km/h
10/28/2013,0:00,Partly cloudy,20 °c,"0.0
mm",42%,1017 mb,6 km/h,11 km/h
10/28/2013,3:00,Clear,20 °c,"0.0
mm",21%,1016 mb,3 km/h,5 km/h
10/28/2013,6:00,Partly cloudy,20 °c,"0.0
mm",29%,1017 mb,3 km/h,3 km/h
10/28/2013,9:00,Cloudy,23 °c,"0.0
mm",60%,1018 mb,5 km/h,5 km/h
10/28/2013,12:00,Overcast,27 °c,"0.0
mm",89%,1015 mb,9 km/h,16 km/h
10/28/2013,15:00,Overcast,26 °c,"0.0
mm",89%,1015 mb,12 km/h,16 km/h
10/28/2013,18:00,Patchy rain possible,24 °c,"0.1
mm",71%,1016 mb,7 km/h,8 km/h
10/28/2013,21:00,Cloudy,23 °c,"0.0
mm",76%,1018 mb,6 km/h,11 km/h
10/29/2013,0:00,Partly cloudy,23 °c,"0.0
mm",51%,1017 mb,5 km/h,9 km/h
10/29/2013,3:00,Overcast,22 °c,"0.0
mm",93%,1016 mb,4 km/h,5 km/h
10/29/2013,6:00,Cloudy,22 °c,"0.0
mm",81%,1017 mb,5 km/h,7 km/h
10/29/2013,9:00,Patchy rain possible,23 °c,"0.1
mm",82%,1018 mb,8 km/h,9 km/h
10/29/2013,12:00,Cloudy,25 °c,"0.0
mm",70%,1015 mb,7 km/h,12 km/h
10/29/2013,15:00,Cloudy,26 °c,"0.0
mm",66%,1014 mb,9 km/h,18 km/h
10/29/2013,18:00,Partly cloudy,24 °c,"0.0
mm",41%,1015 mb,12 km/h,14 km/h
10/29/2013,21:00,Partly cloudy,23 °c,"0.0
mm",59%,1017 mb,8 km/h,13 km/h
10/30/2013,0:00,Cloudy,23 °c,"0.0
mm",74%,1016 mb,5 km/h,8 km/h
10/30/2013,3:00,Overcast,23 °c,"0.0
mm",88%,1015 mb,5 km/h,7 km/h
10/30/2013,6:00,Overcast,23 °c,"0.0
mm",85%,1016 mb,8 km/h,11 km/h
10/30/2013,9:00,Partly cloudy,26 °c,"0.0
mm",59%,1017 mb,10 km/h,12 km/h
10/30/2013,12:00,Patchy rain possible,29 °c,"0.3
mm",83%,1014 mb,12 km/h,18 km/h
10/30/2013,15:00,Partly cloudy,29 °c,"0.0
mm",52%,1013 mb,14 km/h,19 km/h
10/30/2013,18:00,Cloudy,25 °c,"0.0
mm",69%,1014 mb,11 km/h,18 km/h
10/30/2013,21:00,Cloudy,24 °c,"0.0
mm",70%,1016 mb,8 km/h,17 km/h
10/31/2013,0:00,Overcast,23 °c,"0.0
mm",99%,1015 mb,8 km/h,11 km/h
10/31/2013,3:00,Moderate rain at times,23 °c,"0.5
mm",92%,1015 mb,7 km/h,10 km/h
10/31/2013,6:00,Overcast,24 °c,"0.0
mm",96%,1017 mb,8 km/h,10 km/h
10/31/2013,9:00,Partly cloudy,25 °c,"0.0
mm",58%,1017 mb,6 km/h,12 km/h
10/31/2013,12:00,Overcast,28 °c,"0.0
mm",87%,1015 mb,9 km/h,16 km/h
10/31/2013,15:00,Cloudy,28 °c,"0.0
mm",62%,1014 mb,12 km/h,16 km/h
10/31/2013,18:00,Partly cloudy,24 °c,"0.0
mm",51%,1015 mb,9 km/h,16 km/h
10/31/2013,21:00,Partly cloudy,24 °c,"0.0
mm",44%,1017 mb,8 km/h,12 km/h
11/1/2013,0:00,Partly cloudy,23 °c,"0.0
mm",51%,1016 mb,5 km/h,9 km/h
11/1/2013,3:00,Cloudy,23 °c,"0.0
mm",60%,1015 mb,4 km/h,7 km/h
11/1/2013,6:00,Cloudy,23 °c,"0.0
mm",77%,1017 mb,4 km/h,6 km/h
11/1/2013,9:00,Patchy rain possible,26 °c,"0.1
mm",71%,1017 mb,5 km/h,12 km/h
11/1/2013,12:00,Partly cloudy,29 °c,"0.0
mm",29%,1014 mb,6 km/h,13 km/h
11/1/2013,15:00,Partly cloudy,30 °c,"0.0
mm",30%,1013 mb,8 km/h,15 km/h
11/1/2013,18:00,Clear,25 °c,"0.0
mm",17%,1014 mb,8 km/h,15 km/h
11/1/2013,21:00,Clear,23 °c,"0.0
mm",16%,1015 mb,6 km/h,11 km/h
11/2/2013,0:00,Clear,22 °c,"0.0
mm",24%,1015 mb,3 km/h,6 km/h
11/2/2013,3:00,Clear,21 °c,"0.0
mm",20%,1015 mb,4 km/h,7 km/h
11/2/2013,6:00,Clear,22 °c,"0.0
mm",15%,1015 mb,4 km/h,5 km/h
11/2/2013,9:00,Sunny,25 °c,"0.0
mm",12%,1017 mb,6 km/h,11 km/h
11/2/2013,12:00,Sunny,29 °c,"0.0
mm",6%,1014 mb,5 km/h,11 km/h
11/2/2013,15:00,Sunny,30 °c,"0.0
mm",7%,1012 mb,4 km/h,5 km/h
11/2/2013,18:00,Clear,26 °c,"0.0
mm",8%,1013 mb,1 km/h,2 km/h
11/2/2013,21:00,Clear,25 °c,"0.0
mm",8%,1016 mb,4 km/h,8 km/h
11/3/2013,0:00,Clear,22 °c,"0.0
mm",8%,1015 mb,7 km/h,13 km/h
11/3/2013,3:00,Clear,22 °c,"0.0
mm",7%,1015 mb,7 km/h,12 km/h
11/3/2013,6:00,Clear,21 °c,"0.0
mm",8%,1017 mb,8 km/h,11 km/h
11/3/2013,9:00,Sunny,25 °c,"0.0
mm",6%,1018 mb,10 km/h,17 km/h
11/3/2013,12:00,Sunny,29 °c,"0.0
mm",5%,1015 mb,11 km/h,18 km/h
11/3/2013,15:00,Sunny,29 °c,"0.0
mm",6%,1014 mb,9 km/h,15 km/h
11/3/2013,18:00,Clear,25 °c,"0.0
mm",6%,1016 mb,6 km/h,12 km/h
11/3/2013,21:00,Clear,23 °c,"0.0
mm",9%,1018 mb,8 km/h,15 km/h
11/4/2013,0:00,Clear,22 °c,"0.0
mm",17%,1017 mb,9 km/h,14 km/h
11/4/2013,3:00,Clear,20 °c,"0.0
mm",23%,1018 mb,9 km/h,17 km/h
11/4/2013,6:00,Clear,21 °c,"0.0
mm",14%,1019 mb,9 km/h,12 km/h
11/4/2013,9:00,Sunny,24 °c,"0.0
mm",6%,1020 mb,11 km/h,19 km/h
11/4/2013,12:00,Sunny,28 °c,"0.0
mm",3%,1017 mb,12 km/h,21 km/h
11/4/2013,15:00,Sunny,29 °c,"0.0
mm",0%,1016 mb,9 km/h,17 km/h
11/4/2013,18:00,Clear,25 °c,"0.0
mm",0%,1018 mb,6 km/h,12 km/h
11/4/2013,21:00,Clear,22 °c,"0.0
mm",6%,1020 mb,6 km/h,13 km/h
11/5/2013,0:00,Clear,21 °c,"0.0
mm",14%,1019 mb,6 km/h,13 km/h
11/5/2013,3:00,Clear,19 °c,"0.0
mm",23%,1019 mb,8 km/h,15 km/h
11/5/2013,6:00,Partly cloudy,20 °c,"0.0
mm",28%,1019 mb,8 km/h,11 km/h
11/5/2013,9:00,Sunny,25 °c,"0.0
mm",11%,1020 mb,10 km/h,12 km/h
11/5/2013,12:00,Partly cloudy,28 °c,"0.0
mm",26%,1017 mb,9 km/h,16 km/h
11/5/2013,15:00,Partly cloudy,29 °c,"0.0
mm",40%,1016 mb,4 km/h,16 km/h
11/5/2013,18:00,Partly cloudy,24 °c,"0.0
mm",34%,1018 mb,5 km/h,11 km/h
11/5/2013,21:00,Partly cloudy,24 °c,"0.0
mm",35%,1020 mb,4 km/h,7 km/h
11/6/2013,0:00,Cloudy,23 °c,"0.0
mm",79%,1019 mb,3 km/h,4 km/h
11/6/2013,3:00,Overcast,22 °c,"0.0
mm",100%,1018 mb,6 km/h,9 km/h
11/6/2013,6:00,Overcast,21 °c,"0.0
mm",100%,1019 mb,8 km/h,12 km/h
11/6/2013,9:00,Cloudy,24 °c,"0.0
mm",72%,1020 mb,9 km/h,11 km/h
11/6/2013,12:00,Cloudy,27 °c,"0.0
mm",68%,1018 mb,8 km/h,17 km/h
11/6/2013,15:00,Partly cloudy,27 °c,"0.0
mm",48%,1016 mb,8 km/h,10 km/h
11/6/2013,18:00,Overcast,24 °c,"0.0
mm",85%,1018 mb,3 km/h,6 km/h
11/6/2013,21:00,Cloudy,23 °c,"0.0
mm",72%,1019 mb,5 km/h,10 km/h
11/7/2013,0:00,Clear,23 °c,"0.0
mm",25%,1018 mb,7 km/h,12 km/h
11/7/2013,3:00,Cloudy,22 °c,"0.0
mm",63%,1017 mb,6 km/h,11 km/h
11/7/2013,6:00,Overcast,22 °c,"0.0
mm",87%,1018 mb,5 km/h,7 km/h
11/7/2013,9:00,Partly cloudy,26 °c,"0.0
mm",58%,1018 mb,7 km/h,8 km/h
11/7/2013,12:00,Partly cloudy,27 °c,"0.0
mm",49%,1016 mb,3 km/h,7 km/h
11/7/2013,15:00,Cloudy,29 °c,"0.0
mm",66%,1014 mb,7 km/h,9 km/h
11/7/2013,18:00,Partly cloudy,25 °c,"0.0
mm",39%,1015 mb,4 km/h,8 km/h
11/7/2013,21:00,Cloudy,24 °c,"0.0
mm",68%,1016 mb,6 km/h,12 km/h
11/8/2013,0:00,Cloudy,23 °c,"0.0
mm",71%,1015 mb,3 km/h,5 km/h
11/8/2013,3:00,Cloudy,23 °c,"0.0
mm",65%,1015 mb,1 km/h,2 km/h
11/8/2013,6:00,Cloudy,22 °c,"0.0
mm",72%,1016 mb,5 km/h,7 km/h
11/8/2013,9:00,Cloudy,25 °c,"0.0
mm",83%,1016 mb,3 km/h,8 km/h
11/8/2013,12:00,Cloudy,26 °c,"0.0
mm",71%,1014 mb,2 km/h,9 km/h
11/8/2013,15:00,Partly cloudy,26 °c,"0.0
mm",58%,1013 mb,5 km/h,14 km/h
11/8/2013,18:00,Partly cloudy,24 °c,"0.0
mm",50%,1014 mb,5 km/h,9 km/h
11/8/2013,21:00,Partly cloudy,23 °c,"0.0
mm",47%,1015 mb,4 km/h,10 km/h
11/9/2013,0:00,Cloudy,22 °c,"0.0
mm",62%,1014 mb,1 km/h,8 km/h
11/9/2013,3:00,Cloudy,23 °c,"0.0
mm",67%,1014 mb,3 km/h,4 km/h
11/9/2013,6:00,Overcast,23 °c,"0.0
mm",90%,1015 mb,5 km/h,8 km/h
11/9/2013,9:00,Partly cloudy,26 °c,"0.0
mm",56%,1017 mb,5 km/h,12 km/h
11/9/2013,12:00,Partly cloudy,30 °c,"0.0
mm",32%,1013 mb,5 km/h,11 km/h
11/9/2013,15:00,Partly cloudy,30 °c,"0.0
mm",39%,1012 mb,6 km/h,7 km/h
11/9/2013,18:00,Clear,26 °c,"0.0
mm",13%,1014 mb,3 km/h,6 km/h
11/9/2013,21:00,Cloudy,24 °c,"0.0
mm",64%,1015 mb,3 km/h,5 km/h
11/10/2013,0:00,Cloudy,24 °c,"0.0
mm",62%,1014 mb,8 km/h,14 km/h
11/10/2013,3:00,Cloudy,24 °c,"0.0
mm",78%,1013 mb,10 km/h,17 km/h
11/10/2013,6:00,Partly cloudy,23 °c,"0.0
mm",57%,1013 mb,12 km/h,19 km/h
11/10/2013,9:00,Patchy rain possible,26 °c,"0.4
mm",53%,1014 mb,16 km/h,24 km/h
11/10/2013,12:00,Moderate rain at times,27 °c,"0.6
mm",83%,1011 mb,15 km/h,27 km/h
11/10/2013,15:00,Patchy rain possible,26 °c,"0.1
mm",64%,1009 mb,14 km/h,30 km/h
11/10/2013,18:00,Heavy rain at times,24 °c,"1.0
mm",60%,1007 mb,15 km/h,40 km/h
11/10/2013,21:00,Moderate or heavy rain shower,23 °c,"4.5
mm",76%,1006 mb,27 km/h,62 km/h
11/11/2013,0:00,Moderate or heavy rain shower,23 °c,"7.7
mm",72%,1002 mb,29 km/h,67 km/h
11/11/2013,3:00,Moderate or heavy rain shower,22 °c,"8.6
mm",83%,1001 mb,31 km/h,75 km/h
11/11/2013,6:00,Moderate or heavy rain shower,22 °c,"5.0
mm",89%,1002 mb,23 km/h,57 km/h
11/11/2013,9:00,Patchy rain possible,25 °c,"0.4
mm",76%,1006 mb,18 km/h,43 km/h
11/11/2013,12:00,Partly cloudy,28 °c,"0.0
mm",55%,1006 mb,10 km/h,28 km/h
11/11/2013,15:00,Sunny,29 °c,"0.0
mm",24%,1007 mb,10 km/h,14 km/h
11/11/2013,18:00,Partly cloudy,24 °c,"0.0
mm",28%,1008 mb,5 km/h,10 km/h
11/11/2013,21:00,Clear,23 °c,"0.0
mm",16%,1011 mb,7 km/h,14 km/h
11/12/2013,0:00,Clear,22 °c,"0.0
mm",15%,1011 mb,8 km/h,15 km/h
11/12/2013,3:00,Clear,20 °c,"0.0
mm",14%,1012 mb,9 km/h,15 km/h
11/12/2013,6:00,Clear,20 °c,"0.0
mm",18%,1014 mb,8 km/h,14 km/h
11/12/2013,9:00,Sunny,24 °c,"0.0
mm",22%,1015 mb,10 km/h,18 km/h
11/12/2013,12:00,Partly cloudy,27 °c,"0.0
mm",58%,1012 mb,9 km/h,18 km/h
11/12/2013,15:00,Partly cloudy,28 °c,"0.0
mm",53%,1012 mb,9 km/h,18 km/h
11/12/2013,18:00,Partly cloudy,23 °c,"0.0
mm",54%,1013 mb,12 km/h,17 km/h
11/12/2013,21:00,Partly cloudy,22 °c,"0.0
mm",55%,1015 mb,7 km/h,11 km/h
11/13/2013,0:00,Partly cloudy,21 °c,"0.0
mm",54%,1014 mb,7 km/h,11 km/h
11/13/2013,3:00,Cloudy,20 °c,"0.0
mm",64%,1013 mb,7 km/h,11 km/h
11/13/2013,6:00,Cloudy,21 °c,"0.0
mm",62%,1015 mb,9 km/h,13 km/h
11/13/2013,9:00,Partly cloudy,22 °c,"0.0
mm",51%,1016 mb,9 km/h,15 km/h
11/13/2013,12:00,Partly cloudy,24 °c,"0.0
mm",43%,1013 mb,7 km/h,14 km/h
11/13/2013,15:00,Partly cloudy,25 °c,"0.0
mm",55%,1012 mb,6 km/h,11 km/h
11/13/2013,18:00,Partly cloudy,22 °c,"0.0
mm",52%,1014 mb,5 km/h,8 km/h
11/13/2013,21:00,Cloudy,21 °c,"0.0
mm",65%,1016 mb,5 km/h,8 km/h
11/14/2013,0:00,Cloudy,22 °c,"0.0
mm",83%,1016 mb,5 km/h,8 km/h
11/14/2013,3:00,Overcast,21 °c,"0.0
mm",97%,1016 mb,8 km/h,11 km/h
11/14/2013,6:00,Overcast,20 °c,"0.0
mm",96%,1017 mb,9 km/h,13 km/h
11/14/2013,9:00,Overcast,21 °c,"0.0
mm",94%,1019 mb,9 km/h,17 km/h
11/14/2013,12:00,Partly cloudy,22 °c,"0.0
mm",46%,1018 mb,10 km/h,17 km/h
11/14/2013,15:00,Partly cloudy,23 °c,"0.0
mm",40%,1017 mb,10 km/h,19 km/h
11/14/2013,18:00,Partly cloudy,21 °c,"0.0
mm",39%,1018 mb,9 km/h,17 km/h
11/14/2013,21:00,Partly cloudy,19 °c,"0.0
mm",50%,1020 mb,8 km/h,15 km/h
11/15/2013,0:00,Cloudy,18 °c,"0.0
mm",61%,1020 mb,8 km/h,14 km/h
11/15/2013,3:00,Cloudy,17 °c,"0.0
mm",64%,1019 mb,8 km/h,14 km/h
11/15/2013,6:00,Cloudy,18 °c,"0.0
mm",62%,1019 mb,9 km/h,13 km/h
11/15/2013,9:00,Partly cloudy,21 °c,"0.0
mm",33%,1021 mb,9 km/h,15 km/h
11/15/2013,12:00,Sunny,23 °c,"0.0
mm",24%,1018 mb,9 km/h,22 km/h
11/15/2013,15:00,Sunny,24 °c,"0.0
mm",18%,1016 mb,7 km/h,14 km/h
11/15/2013,18:00,Partly cloudy,22 °c,"0.0
mm",25%,1018 mb,3 km/h,6 km/h
11/15/2013,21:00,Clear,20 °c,"0.0
mm",22%,1019 mb,4 km/h,7 km/h
11/16/2013,0:00,Partly cloudy,19 °c,"0.0
mm",50%,1018 mb,4 km/h,8 km/h
11/16/2013,3:00,Partly cloudy,19 °c,"0.0
mm",46%,1017 mb,5 km/h,9 km/h
11/16/2013,6:00,Overcast,19 °c,"0.0
mm",100%,1020 mb,8 km/h,11 km/h
11/16/2013,9:00,Partly cloudy,23 °c,"0.0
mm",55%,1020 mb,7 km/h,14 km/h
11/16/2013,12:00,Partly cloudy,26 °c,"0.0
mm",54%,1018 mb,8 km/h,16 km/h
11/16/2013,15:00,Cloudy,27 °c,"0.0
mm",78%,1017 mb,9 km/h,12 km/h
11/16/2013,18:00,Partly cloudy,23 °c,"0.0
mm",45%,1018 mb,8 km/h,14 km/h
11/16/2013,21:00,Cloudy,22 °c,"0.0
mm",70%,1020 mb,7 km/h,12 km/h
11/17/2013,0:00,Cloudy,21 °c,"0.0
mm",76%,1019 mb,6 km/h,9 km/h
11/17/2013,3:00,Overcast,20 °c,"0.0
mm",98%,1019 mb,6 km/h,9 km/h
11/17/2013,6:00,Cloudy,20 °c,"0.0
mm",81%,1020 mb,4 km/h,6 km/h
11/17/2013,9:00,Sunny,22 °c,"0.0
mm",24%,1021 mb,8 km/h,9 km/h
11/17/2013,12:00,Sunny,24 °c,"0.0
mm",17%,1018 mb,7 km/h,12 km/h
11/17/2013,15:00,Partly cloudy,25 °c,"0.0
mm",40%,1017 mb,6 km/h,7 km/h
11/17/2013,18:00,Clear,23 °c,"0.0
mm",21%,1018 mb,5 km/h,9 km/h
11/17/2013,21:00,Clear,21 °c,"0.0
mm",18%,1019 mb,6 km/h,10 km/h
11/18/2013,0:00,Partly cloudy,20 °c,"0.0
mm",33%,1019 mb,3 km/h,6 km/h
11/18/2013,3:00,Partly cloudy,19 °c,"0.0
mm",38%,1018 mb,3 km/h,5 km/h
11/18/2013,6:00,Partly cloudy,20 °c,"0.0
mm",38%,1020 mb,8 km/h,11 km/h
11/18/2013,9:00,Partly cloudy,23 °c,"0.0
mm",32%,1021 mb,5 km/h,10 km/h
11/18/2013,12:00,Partly cloudy,26 °c,"0.0
mm",36%,1019 mb,8 km/h,9 km/h
11/18/2013,15:00,Partly cloudy,26 °c,"0.0
mm",33%,1018 mb,8 km/h,11 km/h
11/18/2013,18:00,Partly cloudy,22 °c,"0.0
mm",46%,1020 mb,6 km/h,11 km/h
11/18/2013,21:00,Partly cloudy,21 °c,"0.0
mm",48%,1021 mb,7 km/h,11 km/h
11/19/2013,0:00,Partly cloudy,20 °c,"0.0
mm",48%,1021 mb,7 km/h,10 km/h
11/19/2013,3:00,Partly cloudy,20 °c,"0.0
mm",44%,1020 mb,8 km/h,11 km/h
11/19/2013,6:00,Partly cloudy,20 °c,"0.0
mm",46%,1021 mb,8 km/h,12 km/h
11/19/2013,9:00,Overcast,22 °c,"0.0
mm",85%,1022 mb,6 km/h,14 km/h
11/19/2013,12:00,Cloudy,23 °c,"0.0
mm",75%,1020 mb,5 km/h,12 km/h
11/19/2013,15:00,Overcast,22 °c,"0.0
mm",91%,1017 mb,5 km/h,19 km/h
11/19/2013,18:00,Partly cloudy,20 °c,"0.0
mm",49%,1018 mb,1 km/h,9 km/h
11/19/2013,21:00,Cloudy,20 °c,"0.0
mm",78%,1020 mb,4 km/h,7 km/h
11/20/2013,0:00,Partly cloudy,19 °c,"0.0
mm",60%,1019 mb,3 km/h,8 km/h
11/20/2013,3:00,Overcast,20 °c,"0.0
mm",100%,1018 mb,3 km/h,9 km/h
11/20/2013,6:00,Cloudy,19 °c,"0.0
mm",76%,1018 mb,3 km/h,9 km/h
11/20/2013,9:00,Cloudy,20 °c,"0.0
mm",78%,1020 mb,5 km/h,18 km/h
11/20/2013,12:00,Cloudy,19 °c,"0.0
mm",71%,1017 mb,5 km/h,13 km/h
11/20/2013,15:00,Cloudy,20 °c,"0.0
mm",71%,1016 mb,5 km/h,10 km/h
11/20/2013,18:00,Cloudy,20 °c,"0.0
mm",69%,1017 mb,4 km/h,7 km/h
11/20/2013,21:00,Patchy rain possible,19 °c,"0.1
mm",95%,1018 mb,4 km/h,5 km/h
11/21/2013,0:00,Patchy rain possible,18 °c,"0.2
mm",92%,1017 mb,4 km/h,6 km/h
11/21/2013,3:00,Moderate rain at times,18 °c,"0.5
mm",93%,1017 mb,5 km/h,8 km/h
11/21/2013,6:00,Cloudy,18 °c,"0.0
mm",83%,1018 mb,9 km/h,13 km/h
11/21/2013,9:00,Patchy rain possible,19 °c,"0.2
mm",97%,1019 mb,5 km/h,6 km/h
11/21/2013,12:00,Patchy rain possible,20 °c,"0.2
mm",91%,1017 mb,4 km/h,10 km/h
11/21/2013,15:00,Overcast,20 °c,"0.0
mm",88%,1015 mb,0 km/h,7 km/h
11/21/2013,18:00,Overcast,20 °c,"0.0
mm",100%,1016 mb,1 km/h,2 km/h
11/21/2013,21:00,Cloudy,18 °c,"0.0
mm",85%,1018 mb,1 km/h,3 km/h
11/22/2013,0:00,Overcast,19 °c,"0.0
mm",90%,1018 mb,4 km/h,6 km/h
11/22/2013,3:00,Overcast,19 °c,"0.0
mm",88%,1017 mb,5 km/h,8 km/h
11/22/2013,6:00,Overcast,19 °c,"0.0
mm",86%,1018 mb,6 km/h,8 km/h
11/22/2013,9:00,Overcast,20 °c,"0.0
mm",86%,1019 mb,5 km/h,6 km/h
11/22/2013,12:00,Cloudy,21 °c,"0.0
mm",76%,1017 mb,3 km/h,9 km/h
11/22/2013,15:00,Overcast,22 °c,"0.0
mm",94%,1015 mb,7 km/h,9 km/h
11/22/2013,18:00,Cloudy,22 °c,"0.0
mm",81%,1016 mb,7 km/h,10 km/h
11/22/2013,21:00,Overcast,21 °c,"0.0
mm",98%,1017 mb,6 km/h,8 km/h
11/23/2013,0:00,Patchy rain possible,21 °c,"0.2
mm",89%,1016 mb,3 km/h,4 km/h
11/23/2013,3:00,Cloudy,20 °c,"0.0
mm",84%,1015 mb,1 km/h,2 km/h
11/23/2013,6:00,Overcast,20 °c,"0.0
mm",100%,1016 mb,1 km/h,1 km/h
11/23/2013,9:00,Overcast,22 °c,"0.0
mm",94%,1017 mb,2 km/h,6 km/h
11/23/2013,12:00,Moderate rain at times,24 °c,"0.7
mm",97%,1014 mb,6 km/h,13 km/h
11/23/2013,15:00,Moderate rain at times,24 °c,"0.5
mm",66%,1011 mb,9 km/h,12 km/h
11/23/2013,18:00,Cloudy,23 °c,"0.0
mm",61%,1013 mb,6 km/h,10 km/h
11/23/2013,21:00,Cloudy,22 °c,"0.0
mm",80%,1014 mb,6 km/h,11 km/h
11/24/2013,0:00,Overcast,22 °c,"0.0
mm",87%,1014 mb,5 km/h,7 km/h
11/24/2013,3:00,Cloudy,21 °c,"0.0
mm",83%,1013 mb,1 km/h,2 km/h
11/24/2013,6:00,Cloudy,22 °c,"0.0
mm",78%,1015 mb,3 km/h,3 km/h
11/24/2013,9:00,Cloudy,24 °c,"0.0
mm",76%,1016 mb,5 km/h,11 km/h
11/24/2013,12:00,Patchy rain possible,27 °c,"0.1
mm",81%,1013 mb,6 km/h,14 km/h
11/24/2013,15:00,Patchy rain possible,23 °c,"0.2
mm",65%,1013 mb,18 km/h,32 km/h
11/24/2013,18:00,Partly cloudy,22 °c,"0.0
mm",29%,1015 mb,6 km/h,10 km/h
11/24/2013,21:00,Partly cloudy,21 °c,"0.0
mm",44%,1016 mb,8 km/h,13 km/h
11/25/2013,0:00,Partly cloudy,19 °c,"0.0
mm",46%,1016 mb,8 km/h,13 km/h
11/25/2013,3:00,Partly cloudy,18 °c,"0.0
mm",31%,1016 mb,8 km/h,14 km/h
11/25/2013,6:00,Partly cloudy,18 °c,"0.0
mm",26%,1017 mb,8 km/h,13 km/h
11/25/2013,9:00,Partly cloudy,21 °c,"0.0
mm",32%,1018 mb,8 km/h,15 km/h
11/25/2013,12:00,Partly cloudy,24 °c,"0.0
mm",25%,1014 mb,5 km/h,17 km/h
11/25/2013,15:00,Sunny,25 °c,"0.0
mm",19%,1012 mb,5 km/h,6 km/h
11/25/2013,18:00,Clear,21 °c,"0.0
mm",18%,1013 mb,7 km/h,10 km/h
11/25/2013,21:00,Partly cloudy,19 °c,"0.0
mm",28%,1015 mb,8 km/h,14 km/h
11/26/2013,0:00,Partly cloudy,19 °c,"0.0
mm",48%,1015 mb,5 km/h,9 km/h
11/26/2013,3:00,Partly cloudy,18 °c,"0.0
mm",46%,1015 mb,2 km/h,4 km/h
11/26/2013,6:00,Partly cloudy,19 °c,"0.0
mm",28%,1015 mb,4 km/h,5 km/h
11/26/2013,9:00,Partly cloudy,21 °c,"0.0
mm",26%,1016 mb,4 km/h,9 km/h
11/26/2013,12:00,Partly cloudy,25 °c,"0.0
mm",31%,1013 mb,9 km/h,14 km/h
11/26/2013,15:00,Cloudy,25 °c,"0.0
mm",82%,1012 mb,13 km/h,18 km/h
11/26/2013,18:00,Cloudy,22 °c,"0.0
mm",74%,1013 mb,8 km/h,13 km/h
11/26/2013,21:00,Cloudy,21 °c,"0.0
mm",77%,1015 mb,6 km/h,13 km/h
11/27/2013,0:00,Cloudy,20 °c,"0.0
mm",80%,1015 mb,4 km/h,6 km/h
11/27/2013,3:00,Overcast,20 °c,"0.0
mm",89%,1014 mb,3 km/h,4 km/h
